uniqueID,layout,format,title, contributor,group,creator,creationdate,shortdesc,copyright,teammember,categories,medium,demographic,time,tags
artifact2023_0001,item,photo,Elbeco catalogue circa 1960,Heather Akou,artifact,Elbeco,1971,"Small catalogue (23 pages) of uniforms for postal carriers, law enforcement officers, firefighters, and armed forces personnel.  Includes illustrations of clothing items and hats plus actual fabric samples (cotton and polyester).  Mostly men's apparel, but includes photographs of female office staff and garment factory workers.  Spiral bound, approximately 9 by 11 inches. Price list in a separate small booklet (included).  Factory in Reading, Pennsylvania.  Sales office in New York.",CC BY-NC 4.0,Heather Akou,"[ work, military ]",[ catalogue ],"[ men, women ]",[ mid 20th ],"[ government, manufacturing ]"
artifact2023_0002,item,photo,Angelica catalogue 1988,Heather Akou,artifact,Angelica,1988,"Large catalogue (64 pages) of uniforms for waiters and waitresses, domestic servants, healthcare workers, barbers, factory workers, office workers, theater attendants, chefs, and more (all genders).  'Angelica Galaxy of Uniforms' is illustrated mostly with full-color photographs, approximately 10 by 12 inches.  Manufacturer based in St. Louis, Missouri.",CC BY-NC 4.0,Heather Akou,[ work ],[ catalogue ],"[ men, women ]",[ late 20th ],"[ household, hospitality, healthcare, manufacturing, small business ]"
artifact2023_0003,item,photo,Angelica catalogue 1962,Heather Akou,artifact,Angelica,1962,"Large catalogue (60 pages) of uniforms for waiters and waitresses, domestic servants, healthcare workers, barbers, factory workers, office workers, theater attendants, chefs, and more (all genders).  'Washable Service Uniforms' has a few B&W photographs, but mostly colored illustrations, approximately 10 by 12 inches.  Price list in the middle of the catalogue.  Manufacturer based in St. Louis, Missouri.",CC BY-NC 4.0,Heather Akou,[ work ],[ catalogue ],"[ men, women ]",[ mid 20th ],"[ household, hospitality, healthcare, manufacturing, small business ]"
artifact2023_-0004,item,photo,S. Appel & Co. catalogue 1949,Heather Akou,artifact,S. Appel & Co.,1949,"Trade catalogue (32 pages) with uniforms for theater attendants, railway workers, gas station attendants, hospitality (valet, bell boy, doorman), waiters, armed forces and veterans, law enforcement, firefighters, marching bands, and yachting.  Clothing as well as caps, belts, neckwear, outerwear, gloves, and footwear. ",CC BY-NC 4.0,Heather Akou,"[ work, military, sports, other ]",[ catalogue ],[ men ],[ mid 20th ],"[ hospitality, small business, government, marching bands, adult leisure ]"
artifact2023_0005,item,photo,Hilton doorman circa 1960,Heather Akou,artifact,Hilton Hotels,1954 to 1968,"Postcard from Terrace Hilton Hotel in Cincinnati, Ohio.  Shows a doorman at the entrance to the hotel's lounge wearing an Orientalist uniform with black pants and shoes, a long white tunic with a red sash, and a white turban with red decorations.  3 by 5 inches.  Never mailed, may have been a promotional item.  Back of the postcard reads, 'The KASBAH Cocktail lounge is patterned after the original Moroccan Kasbah.  Twinkling stars and tropical plants create a romantic outdoor setting.  Colorful murals, Moroccan canapes and cocktails, and Abdullah, at the entrance extending a warm welcome to our guests, further enhance the exotic atmosphere.'  The Terrace Hilton (originally the Terrace Plaza Hotel) opened in 1948 and was very avant garde for the time.  For more information see: https://en.wikipedia.org/wiki/Terrace_Plaza_Hotel.",CC BY-NC 4.0,Heather Akou,[ work ],[ postcard ],[ men ],[ mid 20th ],"[ corporate, hospitality ]"
artifact2023_0006,item,photo,Hotel Stewart doorman circa 1970,Heather Akou,artifact,Hotel Stewart,1965 to 1975,"Postcard from Hotel Stewart in San Francisco, California.  Shows a doorman in an emerald green jacket and black pants and shoes carrying a suitcase.  A business man and a well-dressed family are visible in the lobby.  3 by 5 inches.  Back of the postcard says, 'HOTEL STEWART--All the excitement of San Francisco is nearby when you stay in this Handlery Hotel at world-famous Union Square.  The garden court, heated pool, and cocktail lounges offer quiet leisure.  Yet, you are just steps from businesses, shops, cable cars, restaurants, and theatres.  Parking is available.  351 Geary Street, San Francisco, California 94102.'",CC BY-NC 4.0,Heather Akou,[ work ],[ postcard ],[ men ],[ mid 20th ],"[ corporate, hospitality ]"
artifact2023_0007,item,photo,NPS rangers circa 1950,Heather Akou,artifact,National Park Service,1940 to 1960,"B&W snapshot of six National Park Service (NPS) rangers (all men) wearing regulation button-down shirts and trousers with Stetson hats, badges, neckties, belts, and dark shoes or boots.  Print is 3 by 4 inches.",CC BY-NC 4.0,Heather Akou,[ work ],[ photograph ],[ men ],[ mid 20th ],[ government ]
artifact2023_0008,item,photo,"Judy Garland in ""The Harvey Girls"" 1945",Heather Akou,artifact,MGM,1945,"Promotional postcard mailed in December 1945 ('The Harvey Girls' by MGM was released in January 1946).  Shows one of the main characters, Judy Garland, wearing the uniform of a Harvey House waitress.  The ankle-length black dress with white apron and white cuffs was an accurate depiction of the uniform, designed by Theresa dell Angelica (co-founder of a small manufacturing business that would eventually become Angelica Uniform Co.) for Fred Harvey in the 1880s.  First-known mass-produced work uniform for women in the United States.  Back of the postcard reads, 'The story of the Harvey Girls is being told on the screen in a new Metro-Goldwyn-Mayer Technicolor musical production, starring Judy Garland.  THE HARVEY GIRLS tells how Fred Harvey waitresses of the 1890s brought romance and civilizing influence to a typical frontier town.'  Sent to a recipient in North Carolina.",CC BY-NC 4.0,Heather Akou,[ work ],[ postcard ],[ women ],[ early 20th ],[ corporate ]
artifact2023_0009,item,photo,Factory or bakery workers circa 1940,Heather Akou,artifact,unknown,1935 to 1945,"B&W snapshot of two women who were likely factory or bakery workers (based on their sanitary uniforms without a nurse's cap).  The women are wearing white shoes with low heels, white stockings, and identical white button-down smocks with collars and large pockets.  Location unknown.  Handwriting on the back says 'a friend + Ma.'",CC BY-NC 4.0,Heather Akou,[ work ],[ photograph ],[ women ],[ early 20th ],[ manufacturing ]
artifact2023_0010,item,photo,Hotel waiter 1961,Heather Akou,artifact,Sheraton Hotels,1961,"Postcard from the French Lick Sheraton Hotel in French Lick, Indiana (owned by Sheraton from 1954 to 1979).  Shows a Black waiter balancing a tray of food and beverages on his head.  He is wearing black pants and shoes, a black necktie, and a white button-down shirt and double-breasted jacket with black buttons.  Many of the hotel's Black workers (waiters, bell boys, porters) had moved to French Lick from Kentucky to work at the hotel and other area businesses.  In the early 1900s, they fielded a Negro League baseball team called the French Lick Plutos.  For more, see: https://en.wikipedia.org/wiki/French_Lick_Springs_Hotel ",CC BY-NC 4.0,Heather Akou,[ work ],[ postcard ],[ men ],[ mid 20th ],"[ corporate, hospitality ]"
